iter	Passed	Remaining
0	2	226
1	4	211
2	6	200
3	7	186
4	9	185
5	11	183
6	13	182
7	15	183
8	17	180
9	19	178
10	21	176
11	23	173
12	25	172
13	27	171
14	29	169
15	31	167
16	33	164
17	35	162
18	37	160
19	39	158
20	41	156
21	42	152
22	44	147
23	45	143
24	46	139
25	47	135
26	48	131
27	49	128
28	50	124
29	52	121
30	53	118
31	54	115
32	55	112
33	56	110
34	58	107
35	59	105
36	60	102
37	61	100
38	62	98
39	63	95
40	65	93
41	65	90
42	66	88
43	67	86
44	68	84
45	70	82
46	71	80
47	72	78
48	73	76
49	74	74
50	75	72
51	77	71
52	78	69
53	79	67
54	80	65
55	81	63
56	82	62
57	83	60
58	84	59
59	86	57
60	87	55
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	93	46
67	95	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	112	22
83	113	21
84	114	20
85	115	18
86	116	17
87	117	16
88	118	14
89	120	13
90	121	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
