iter	Passed	Remaining
0	209	208830
1	211	105446
2	212	70740
3	214	53354
4	215	42920
5	217	35967
6	218	31063
7	220	27373
8	222	24478
9	226	22440
10	229	20646
11	231	19021
12	236	17934
13	239	16859
14	241	15839
15	243	14951
16	244	14149
17	246	13435
18	247	12797
19	249	12244
20	253	11840
21	255	11362
22	257	10924
23	258	10523
24	260	10149
25	261	9798
26	262	9471
27	264	9166
28	269	9008
29	271	8778
30	273	8533
31	274	8302
32	275	8082
33	277	7881
34	278	7679
35	279	7493
36	283	7367
37	284	7202
38	286	7048
39	287	6896
40	288	6749
41	290	6616
42	291	6483
43	292	6359
44	294	6247
45	298	6181
46	299	6074
47	301	5986
48	303	5889
49	305	5796
50	306	5703
51	307	5609
52	309	5522
53	311	5463
54	313	5380
55	314	5302
56	315	5225
57	317	5152
58	318	5081
59	319	5013
60	321	4946
61	322	4879
62	326	4859
63	328	4800
64	330	4748
65	332	4698
66	333	4643
67	335	4592
68	336	4538
69	337	4484
70	341	4463
71	342	4413
72	343	4365
73	344	4316
74	346	4272
75	347	4226
76	348	4180
77	349	4135
78	350	4091
79	352	4048
80	356	4043
81	358	4011
82	359	3967
83	360	3929
84	361	3893
85	363	3859
86	364	3823
87	365	3789
88	366	3754
89	367	3720
90	371	3712
91	373	3683
92	374	3653
93	375	3622
94	377	3595
95	378	3564
96	379	3534
97	380	3504
98	382	3482
99	386	3480
100	388	3457
101	389	3432
102	391	3410
103	393	3387
104	394	3362
105	395	3336
106	396	3312
107	398	3289
108	405	3316
109	407	3293
110	408	3269
111	410	3252
112	413	3242
113	414	3219
114	415	3198
115	416	3177
116	417	3153
117	419	3132
118	420	3114
119	421	3094
120	423	3078
121	425	3060
122	428	3055
123	430	3039
124	431	3023
125	434	3011
126	435	2992
127	436	2975
128	438	2959
129	439	2942
130	442	2937
131	444	2923
132	446	2909
133	448	2898
134	449	2883
135	451	2870
136	453	2857
137	455	2844
138	457	2836
139	459	2823
140	461	2809
141	462	2792
142	465	2792
143	467	2777
144	468	2763
145	470	2749
146	471	2736
147	472	2721
148	474	2707
149	475	2693
150	476	2680
151	478	2667
152	480	2657
153	481	2644
154	482	2631
155	483	2618
156	485	2604
157	486	2591
158	487	2579
159	489	2568
160	490	2554
161	491	2542
162	494	2537
163	495	2527
164	497	2515
165	498	2504
166	499	2491
167	500	2479
